 [0, 0]  0, 0, TileType.START  
             [0, 1]  0, 1, TileType.GRASS  
             [0, 2]  0, 2, TileType.GRASS  
             [0, 3]  0, 3, TileType.GRASS  
             [0, 4]  0, 4, TileType.GRASS  
             [0, 5]  0, 5, TileType.GRASS  
             [0, 6]  0, 6, TileType.GRASS  
             [0, 7]  0, 7, TileType.GRASS  
             [0, 8]  0, 8, TileType.ROCK  
             [0, 9]  0, 9, TileType.ROCK  
             [0, 10]  0, 10, TileType.ROCK  
             [0, 11]  0, 11, TileType.ROCK  
             [0, 12]  0, 12, TileType.GRASS  
             [0, 13]  0, 13, TileType.GRASS  
             [0, 14]  0, 14, TileType.GRASS  
             [0, 15]  0, 15, TileType.GRASS  
             [0, 16]  0, 16, TileType.GRASS  
             [0, 17]  0, 17, TileType.GRASS  
             [0, 18]  0, 18, TileType.GRASS  
             [0, 19]  0, 19, TileType.GRASS  
             [0, 20]  0, 20, TileType.GRASS  
             [0, 21]  0, 21, TileType.GRASS  
             [0, 22]  0, 22, TileType.GRASS  
             [0, 23]  0, 23, TileType.GRASS  
             [0, 24]  0, 24, TileType.GRASS  
             [0, 25]  0, 25, TileType.GRASS  
             [0, 26]  0, 26, TileType.GRASS  
             [0, 27]  0, 27, TileType.GRASS  
             [0, 28]  0, 28, TileType.GRASS  
             [0, 29]  0, 29, TileType.GRASS  

            // X = 1
             [1, 0]  1, 0, TileType.GRASS  
             [1, 1]  1, 1, TileType.GRASS  
             [1, 2]  1, 2, TileType.GRASS  
             [1, 3]  1, 3, TileType.GRASS  
             [1, 4]  1, 4, TileType.GRASS  
             [1, 5]  1, 5, TileType.GRASS  
             [1, 6]  1, 6, TileType.GRASS  
             [1, 7]  1, 7, TileType.GRASS  
             [1, 8]  1, 8, TileType.GRASS  
             [1, 9]  1, 9, TileType.ROCK  
             [1, 10]  1, 10, TileType.ROCK  
             [1, 11]  1, 11, TileType.GRASS  
             [1, 12]  1, 12, TileType.GRASS  
             [1, 13]  1, 13, TileType.GRASS  
             [1, 14]  1, 14, TileType.GRASS  
             [1, 15]  1, 15, TileType.GRASS  
             [1, 16]  1, 16, TileType.GRASS  
             [1, 17]  1, 17, TileType.GRASS  
             [1, 18]  1, 18, TileType.GRASS  
             [1, 19]  1, 19, TileType.GRASS  
             [1, 20]  1, 20, TileType.GRASS  
             [1, 21]  1, 21, TileType.GRASS  
             [1, 22]  1, 22, TileType.GRASS  
             [1, 23]  1, 23, TileType.GRASS  
             [1, 24]  1, 24, TileType.GRASS  
             [1, 25]  1, 25, TileType.GRASS  
             [1, 26]  1, 26, TileType.GRASS  
             [1, 27]  1, 27, TileType.GRASS  
             [1, 28]  1, 28, TileType.GRASS  
             [1, 29]  1, 29, TileType.GRASS  

            // X = 2
             [2, 0]  2, 0, TileType.GRASS  
             [2, 1]  2, 1, TileType.GRASS  
             [2, 2]  2, 2, TileType.GRASS  
             [2, 3]  2, 3, TileType.GRASS  
             [2, 4]  2, 4, TileType.GRASS  
             [2, 5]  2, 5, TileType.GRASS  
             [2, 6]  2, 6, TileType.GRASS  
             [2, 7]  2, 7, TileType.GRASS  
             [2, 8]  2, 8, TileType.GRASS  
             [2, 9]  2, 9, TileType.GRASS  
             [2, 10]  2, 10, TileType.GRASS  
             [2, 11]  2, 11, TileType.GRASS  
             [2, 12]  2, 12, TileType.GRASS  
             [2, 13]  2, 13, TileType.ROCK  
             [2, 14]  2, 14, TileType.ROCK  
             [2, 15]  2, 15, TileType.ROCK  
             [2, 16]  2, 16, TileType.ROCK  
             [2, 17]  2, 17, TileType.GRASS  
             [2, 18]  2, 18, TileType.GRASS  
             [2, 19]  2, 19, TileType.GRASS  
             [2, 20]  2, 20, TileType.GRASS  
             [2, 21]  2, 21, TileType.GRASS  
             [2, 22]  2, 22, TileType.GRASS  
             [2, 23]  2, 23, TileType.GRASS  
             [2, 24]  2, 24, TileType.GRASS  
             [2, 25]  2, 25, TileType.GRASS  
             [2, 26]  2, 26, TileType.GRASS  
             [2, 27]  2, 27, TileType.GRASS  
             [2, 28]  2, 28, TileType.GRASS  
             [2, 29]  2, 29, TileType.GRASS  

            // X = 3
             [3, 0]  3, 0, TileType.GRASS  
             [3, 1]  3, 1, TileType.GRASS  
             [3, 2]  3, 2, TileType.GRASS  
             [3, 3]  3, 3, TileType.GRASS  
             [3, 4]  3, 4, TileType.GRASS  
             [3, 5]  3, 5, TileType.ROCK  
             [3, 6]  3, 6, TileType.ROCK  
             [3, 7]  3, 7, TileType.GRASS  
             [3, 8]  3, 8, TileType.GRASS  
             [3, 9]  3, 9, TileType.GRASS  
             [3, 10]  3, 10, TileType.GRASS  
             [3, 11]  3, 11, TileType.GRASS  
             [3, 12]  3, 12, TileType.ROCK  
             [3, 13]  3, 13, TileType.ROCK  
             [3, 14]  3, 14, TileType.ROCK  
             [3, 15]  3, 15, TileType.ROCK  
             [3, 16]  3, 16, TileType.ROCK  
             [3, 17]  3, 17, TileType.ROCK  
             [3, 18]  3, 18, TileType.GRASS  
             [3, 19]  3, 19, TileType.GRASS  
             [3, 20]  3, 20, TileType.GRASS  
             [3, 21]  3, 21, TileType.GRASS  
             [3, 22]  3, 22, TileType.GRASS  
             [3, 23]  3, 23, TileType.GRASS  
             [3, 24]  3, 24, TileType.GRASS  
             [3, 25]  3, 25, TileType.ROCK  
             [3, 26]  3, 26, TileType.ROCK  
             [3, 27]  3, 27, TileType.GRASS  
             [3, 28]  3, 28, TileType.GRASS  
             [3, 29]  3, 29, TileType.GRASS  

            // X = 4
             [4, 0]  4, 0, TileType.ROCK  
             [4, 1]  4, 1, TileType.GRASS  
             [4, 2]  4, 2, TileType.GRASS  
             [4, 3]  4, 3, TileType.GRASS  
             [4, 4]  4, 4, TileType.GRASS  
             [4, 5]  4, 5, TileType.ROCK  
             [4, 6]  4, 6, TileType.ROCK  
             [4, 7]  4, 7, TileType.GRASS  
             [4, 8]  4, 8, TileType.GRASS  
             [4, 9]  4, 9, TileType.GRASS  
             [4, 10]  4, 10, TileType.GRASS  
             [4, 11]  4, 11, TileType.GRASS  
             [4, 12]  4, 12, TileType.ROCK  
             [4, 13]  4, 13, TileType.ROCK  
             [4, 14]  4, 14, TileType.GRASS  
             [4, 15]  4, 15, TileType.GRASS  
             [4, 16]  4, 16, TileType.GRASS  
             [4, 17]  4, 17, TileType.GRASS  
             [4, 18]  4, 18, TileType.GRASS  
             [4, 19]  4, 19, TileType.GRASS  
             [4, 20]  4, 20, TileType.GRASS  
             [4, 21]  4, 21, TileType.GRASS  
             [4, 22]  4, 22, TileType.GRASS  
             [4, 23]  4, 23, TileType.GRASS  
             [4, 24]  4, 24, TileType.ROCK  
